序号,热搜词条,首次出现日期,最后出现日期,出现自然日数,日期页最高观察次数,首次日期页展示序,事件阶段,内容类型,筛选依据,复原状态,来源等级,日榜来源,词条详情,官方核验来源,备注
1,世界杯,2026-06-11,2026-06-11,1,27,14,小组赛阶段,赛事衍生/社会话题,直接词：世界杯,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-11,https://www.weibotop.cn/topic/Wn8dQw,,根据历史榜单复原
2,退钱哥刚落地墨西哥就被骗了,2026-06-11,2026-06-11,1,33,12,小组赛阶段,赛事衍生/社会话题,人工复核：世界杯赛程/赛场关联,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-11,https://www.weibotop.cn/topic/Wndmcg,,根据历史榜单复原
3,韩国vs捷克,2026-06-12,2026-06-12,1,27,2,小组赛阶段,赛况/结果,人工复核：世界杯赛程/赛场关联,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-12,https://www.weibotop.cn/topic/Wndn6A,,根据历史榜单复原
4,老外也疑惑中国为什么不参加世界杯,2026-06-12,2026-06-13,2,33,5,小组赛阶段,赛事衍生/社会话题,直接词：世界杯,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-12,https://www.weibotop.cn/topic/Wndn4A,,根据历史榜单复原
5,轮奸犯踢世界杯日本足协沉默,2026-06-12,2026-06-12,1,31,19,小组赛阶段,赛事衍生/社会话题,直接词：世界杯,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-12,https://www.weibotop.cn/topic/Wndn2g,,根据历史榜单复原
6,南非 打人,2026-06-12,2026-06-12,1,35,6,小组赛阶段,赛事衍生/社会话题,人工复核：世界杯赛程/赛场关联,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-12,https://www.weibotop.cn/topic/Wndn9Q,,根据历史榜单复原
7,世界杯开幕式,2026-06-12,2026-06-12,1,48,3,小组赛阶段,商业/传播,直接词：世界杯,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-12,https://www.weibotop.cn/topic/Wn8Xjg,,根据历史榜单复原
8,世界杯开幕式 吓我一跳,2026-06-12,2026-06-12,1,68,4,小组赛阶段,商业/传播,直接词：世界杯,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-12,https://www.weibotop.cn/topic/WndnwQ,,根据历史榜单复原
9,中国队首发 labubu马宁,2026-06-12,2026-06-12,1,63,16,小组赛阶段,商业/传播,人物词：马宁,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-12,https://www.weibotop.cn/topic/Wndn_A,,根据历史榜单复原
10,美国世界杯开幕式,2026-06-13,2026-06-13,1,31,14,小组赛阶段,商业/传播,直接词：世界杯,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-13,https://www.weibotop.cn/topic/WndnUQ,,根据历史榜单复原
11,世界杯在中国的收视率爆了,2026-06-13,2026-06-13,1,32,7,小组赛阶段,商业/传播,直接词：世界杯,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-13,https://www.weibotop.cn/topic/WndnFg,,根据历史榜单复原
12,英格兰队遭盗窃只剩1个足球,2026-06-13,2026-06-14,2,29,6,小组赛阶段,赛事衍生/社会话题,球队+足球语境：英格兰/足球,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-13,https://www.weibotop.cn/topic/Wndnfg,,根据历史榜单复原
13,labubu世界杯销量暴涨30倍,2026-06-13,2026-06-13,1,14,9,小组赛阶段,商业/传播,直接词：世界杯,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-13,https://www.weibotop.cn/topic/WndnBw,,根据历史榜单复原
14,阿根廷vs阿尔及利亚,2026-06-17,2026-06-17,1,26,2,小组赛阶段,赛况/结果,人工复核：世界杯赛程/赛场关联,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-17,https://www.weibotop.cn/topic/WndhlQ,,根据历史榜单复原
15,法国3比1塞内加尔,2026-06-17,2026-06-17,1,26,10,小组赛阶段,赛况/结果,比分+球队：法国,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-17,https://www.weibotop.cn/topic/WndgdA,,根据历史榜单复原
16,法国vs塞内加尔,2026-06-17,2026-06-17,1,31,8,小组赛阶段,赛况/结果,人工复核：世界杯赛程/赛场关联,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-17,https://www.weibotop.cn/topic/WndgQQ,,根据历史榜单复原
17,哈兰德进球,2026-06-17,2026-06-17,1,18,19,小组赛阶段,赛况/结果,人物词：哈兰德,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-17,https://www.weibotop.cn/topic/Wndgcg,,根据历史榜单复原
18,梅西 踩小腿,2026-06-17,2026-06-18,2,24,5,小组赛阶段,球星/球队舆情,人物词：梅西,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-17,https://www.weibotop.cn/topic/WndhrA,,根据历史榜单复原
19,梅西世界波,2026-06-17,2026-06-17,1,19,13,小组赛阶段,赛况/结果,人物词：梅西,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-17,https://www.weibotop.cn/topic/Wn3jYQ,,根据历史榜单复原
20,姆巴佩梅开二度,2026-06-17,2026-06-23,2,86,6,小组赛阶段,球星/球队舆情,人物词：姆巴佩,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-17,https://www.weibotop.cn/topic/Wnqpxw,,根据历史榜单复原
21,姆巴佩破门,2026-06-17,2026-06-17,1,17,12,小组赛阶段,赛况/结果,人物词：姆巴佩,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-17,https://www.weibotop.cn/topic/Wn8KkQ,,根据历史榜单复原
22,压力给到C罗,2026-06-17,2026-06-17,1,30,14,小组赛阶段,球星/球队舆情,人物词：C罗,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-17,https://www.weibotop.cn/topic/Wn8Oig,,根据历史榜单复原
23,伊拉克1比4挪威,2026-06-17,2026-06-17,1,12,15,小组赛阶段,赛况/结果,比分+球队：挪威,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-17,https://www.weibotop.cn/topic/WndhnQ,,根据历史榜单复原
24,伊朗队被勒令离开美国,2026-06-17,2026-06-17,1,62,4,小组赛阶段,赛事衍生/社会话题,人工复核：世界杯赛程/赛场关联,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-17,https://www.weibotop.cn/topic/WndggQ,,根据历史榜单复原
25,阿根廷球迷今天全体计划有变,2026-06-18,2026-06-18,1,40,12,小组赛阶段,球星/球队舆情,球队+足球语境：阿根廷/球迷,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-18,https://www.weibotop.cn/topic/Wndh_g,,根据历史榜单复原
26,马宁主哨世界杯,2026-06-18,2026-06-18,1,29,11,小组赛阶段,裁判/规则,直接词：世界杯,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-18,https://www.weibotop.cn/topic/WndhGg,,根据历史榜单复原
27,梅西 C罗,2026-06-18,2026-06-18,1,16,18,小组赛阶段,球星/球队舆情,人物词：C罗,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-18,https://www.weibotop.cn/topic/WndhMQ,,根据历史榜单复原
28,梅西与中国球迷的双向奔赴,2026-06-18,2026-06-18,1,35,13,小组赛阶段,球星/球队舆情,人物词：梅西,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-18,https://www.weibotop.cn/topic/Wndhxg,,根据历史榜单复原
29,葡萄牙队回应C罗发文,2026-06-18,2026-06-18,1,1,21,小组赛阶段,球星/球队舆情,人物词：C罗,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-18,https://www.weibotop.cn/topic/Wndinw,,根据历史榜单复原
30,葡萄牙vs民主刚果,2026-06-18,2026-06-18,1,43,2,小组赛阶段,赛况/结果,人工复核：世界杯赛程/赛场关联,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-18,https://www.weibotop.cn/topic/WndhCg,,根据历史榜单复原
31,英格兰4比2克罗地亚,2026-06-18,2026-06-18,1,20,20,小组赛阶段,赛况/结果,比分+球队：英格兰,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-18,https://www.weibotop.cn/topic/WndhNg,,根据历史榜单复原
32,英格兰vs克罗地亚,2026-06-18,2026-06-18,1,18,16,小组赛阶段,赛况/结果,人工复核：世界杯赛程/赛场关联,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-18,https://www.weibotop.cn/topic/WndhPg,,根据历史榜单复原
33,诸神黄昏只有C罗听进去了,2026-06-18,2026-06-18,1,38,17,小组赛阶段,球星/球队舆情,人物词：C罗,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-18,https://www.weibotop.cn/topic/WndhNA,,根据历史榜单复原
34,C罗回应葡萄牙爆冷战平,2026-06-18,2026-06-18,1,48,7,小组赛阶段,赛况/结果,人物词：C罗,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-18,https://www.weibotop.cn/topic/WndhLA,,根据历史榜单复原
35,C罗状态,2026-06-18,2026-06-18,1,59,5,小组赛阶段,球星/球队舆情,人物词：C罗,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-18,https://www.weibotop.cn/topic/WndhPA,,根据历史榜单复原
36,佛得角门将,2026-06-19,2026-06-19,1,78,21,小组赛阶段,球星/球队舆情,球队+足球语境：佛得角/门将,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-19,https://www.weibotop.cn/topic/WndirA,,根据历史榜单复原
37,韩国男团嘲讽孙兴慜,2026-06-19,2026-06-19,1,74,16,小组赛阶段,赛事衍生/社会话题,人工复核：世界杯赛程/赛场关联,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-19,https://www.weibotop.cn/topic/WndjqQ,,根据历史榜单复原
38,加拿大球员小腿变形,2026-06-19,2026-06-19,1,73,9,小组赛阶段,球星/球队舆情,球队+足球语境：加拿大/球员,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-19,https://www.weibotop.cn/topic/Wndi_A,,根据历史榜单复原
39,加拿大vs卡塔尔,2026-06-19,2026-06-19,1,35,20,小组赛阶段,赛况/结果,人工复核：世界杯赛程/赛场关联,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-19,https://www.weibotop.cn/topic/Wndizw,,根据历史榜单复原
40,世界杯最疯狂20分钟,2026-06-19,2026-06-19,1,27,18,小组赛阶段,赛事衍生/社会话题,直接词：世界杯,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-19,https://www.weibotop.cn/topic/Wndixg,,根据历史榜单复原
41,巴拉圭捂嘴说话红牌,2026-06-20,2026-06-20,1,71,2,小组赛阶段,裁判/规则,球队+足球语境：巴拉圭/红牌,公开日榜复原 + 官方报告核验,A+B,https://www.weibotop.cn/daily/2026-06-20,https://www.weibotop.cn/topic/WndcEA,https://www.cctvsports.com.cn/zx/2026-07-01/202607013554.html,根据历史榜单复原
42,巴西vs海地,2026-06-20,2026-06-20,1,36,8,小组赛阶段,赛况/结果,人工复核：世界杯赛程/赛场关联,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-20,https://www.weibotop.cn/topic/WndcxA,,根据历史榜单复原
43,美国vs澳大利亚,2026-06-20,2026-06-20,1,46,15,小组赛阶段,赛况/结果,人工复核：世界杯赛程/赛场关联,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-20,https://www.weibotop.cn/topic/Wndcsw,,根据历史榜单复原
44,明天将是中国球迷的主场,2026-06-20,2026-06-20,1,63,5,小组赛阶段,球星/球队舆情,人工复核：世界杯赛程/赛场关联,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-20,https://www.weibotop.cn/topic/WnddiA,,根据历史榜单复原
45,世界杯 不让捂嘴,2026-06-20,2026-06-20,1,38,19,小组赛阶段,赛事衍生/社会话题,直接词：世界杯,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-20,https://www.weibotop.cn/topic/WndcPA,,根据历史榜单复原
46,土耳其球迷暴怒,2026-06-20,2026-06-20,1,57,7,小组赛阶段,球星/球队舆情,球队+足球语境：土耳其/球迷,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-20,https://www.weibotop.cn/topic/WndcdQ,,根据历史榜单复原
47,土耳其球员急哭了,2026-06-20,2026-06-20,1,54,13,小组赛阶段,球星/球队舆情,球队+足球语境：土耳其/球员,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-20,https://www.weibotop.cn/topic/WndcSA,,根据历史榜单复原
48,主裁判抽筋了,2026-06-20,2026-06-20,1,44,11,小组赛阶段,裁判/规则,人工复核：世界杯赛程/赛场关联,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-20,https://www.weibotop.cn/topic/WndcoA,,根据历史榜单复原
49,德国绝杀进球,2026-06-21,2026-06-21,1,85,8,小组赛阶段,赛况/结果,球队+足球语境：德国/进球,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-21,https://www.weibotop.cn/topic/WnddQw,,根据历史榜单复原
50,荷兰连进4球,2026-06-21,2026-06-21,1,51,19,小组赛阶段,赛事衍生/社会话题,人工复核：世界杯赛程/赛场关联,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-21,https://www.weibotop.cn/topic/WnddTQ,,根据历史榜单复原
51,荷兰杀疯了,2026-06-21,2026-06-21,1,83,17,小组赛阶段,赛事衍生/社会话题,人工复核：世界杯赛程/赛场关联,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-21,https://www.weibotop.cn/topic/WnddTw,,根据历史榜单复原
52,荷兰vs瑞典,2026-06-21,2026-06-21,1,68,18,小组赛阶段,赛况/结果,人工复核：世界杯赛程/赛场关联,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-21,https://www.weibotop.cn/topic/WnddWA,,根据历史榜单复原
53,马宁被球员围攻,2026-06-21,2026-06-21,1,47,2,小组赛阶段,裁判/规则,人物词：马宁,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-21,https://www.weibotop.cn/topic/Wndevg,,根据历史榜单复原
54,突尼斯0比4日本,2026-06-21,2026-06-21,1,46,14,小组赛阶段,赛况/结果,比分+球队：日本,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-21,https://www.weibotop.cn/topic/Wnde9g,,根据历史榜单复原
55,突尼斯vs日本,2026-06-21,2026-06-21,1,32,10,小组赛阶段,赛况/结果,人工复核：世界杯赛程/赛场关联,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-21,https://www.weibotop.cn/topic/Wndeog,,根据历史榜单复原
56,伊朗因球员跑不动多次换人,2026-06-21,2026-06-21,1,40,15,小组赛阶段,球星/球队舆情,人工复核：世界杯赛程/赛场关联,公开日榜复原,B,https://www.weibotop.cn/daily/2026-06-21,https://www.weibotop.cn/topic/WndeaQ,,根据历史榜单复原
